Subject,Conf_Rat,avg_dev,num_weights,BDev,Mem
5c801cd6aaf2af0016478e6f,High,0.142857143,14,0.517857143,Exp
5e614c386ee9b3017b83e4bc,Med,1.2,9,0.65,Exp
5eac2cc56665cc23af76e945,High,0.2,13,0.525,Exp
5e9b8957035d900898422c3c,Low,0,10,0.5,Exp
5edbf245e31b590a6e572482,High,1.5,16,0.6875,Exp
5eb0deb2bd00da19c156f390,Med,0.142857143,13,0.517857143,Exp
5eaf33928c0ee3626f0036e5,Med,-1.647058824,5,0.294117647,Exp
5e700bdb6319c15ed8726932,Med,-0.375,16,0.453125,Exp
5ec5ba3e981556631c1a78ba,Low,0.636363636,12,0.579545455,Exp
5e3889c805856605d1838c21,Med,0.538461538,14,0.567307692,Exp
5eefa601e2550709b46a3dff,Med,0.454545455,13,0.556818182,Exp
5bcd295277740000016ab0a5,High,-1.222222222,10,0.347222222,Exp
5b15de5cbd9c310001570400,Low,1.882352941,17,0.735294118,Exp
55b237e6fdf99b19ea79d2f7,Med,-0.647058824,16,0.419117647,Exp
5e9a600390f4ad0f0f200993,High,0.375,9,0.546875,Exp
5b457ba9eb64c200015bbab1,High,1.25,8,0.65625,Exp
5ea3b1b9fc11ed33dde53561,Med,0.235294118,17,0.529411765,Exp
5c8e1af5c6e10f00010d6212,Low,-1.166666667,12,0.354166667,Exp
5f5834134283933a1c3b42d0,Low,0.6875,16,0.5859375,Exp
5ee150a384b8a1164fef6273,High,1.230769231,14,0.653846154,Exp
5eee3a583a975d29fd3e6f38,Low,-0.153846154,13,0.480769231,Exp
5c82d0ac51b0e00015cbd2fc,Med,0.066666667,15,0.508333333,Exp
58ac890076c5b70001662993,High,0.125,16,0.515625,Exp
5bddd64b48428800013061a6,Low,-0.6,14,0.425,Exp
5ee100c8ac33db0e30697284,High,0.666666667,5,0.583333333,Exp
5c1bc0ab84ff14000184c2ce,Med,0.866666667,15,0.608333333,Exp
5d849ee0a954540019f513dd,Low,0.75,8,0.59375,Exp
5f4d1371c20934977e621ac3,High,0.75,9,0.59375,Exp
5f4ee7ff2c5da213f015a27e,Med,-0.142857143,7,0.482142857,Exp
